,subject,duration,standing_up,first_walk,first_turn,second_walk,second_turn,sitting_down,status
143,s15,9516.0,977.0,2683.0,1464.0,2440.0,1464.0,488.0,success
144,s15,9272.0,732.0,2684.0,1464.0,1952.0,1464.0,976.0,success
145,s15,8784.0,732.0,2928.0,1220.0,1708.0,1220.0,976.0,success
146,s15,,488.0,3172.0,1464.0,1464.0,,,failure
147,s16,8540.0,976.0,2439.0,2196.0,733.0,1219.0,977.0,success
148,s16,8296.0,733.0,1951.0,1953.0,1707.0,976.0,976.0,success
149,s16,9027.0,975.0,2196.0,976.0,2684.0,976.0,1220.0,success
150,s16,7808.0,732.0,1952.0,1464.0,1464.0,976.0,1220.0,success
151,s16,5856.0,976.0,976.0,1220.0,732.0,976.0,976.0,success
152,s16,9760.0,733.0,2196.0,1220.0,2927.0,1220.0,1464.0,success
153,s16,8296.0,976.0,1709.0,976.0,1951.0,1220.0,1464.0,success
154,s16,7807.0,976.0,1707.0,4148.0,,,976.0,partial_success
155,s16,9271.0,976.0,1951.0,1952.0,1952.0,976.0,1464.0,success
156,s16,8539.0,975.0,1953.0,1220.0,2195.0,977.0,1219.0,success
157,s17,9027.0,1463.0,2196.0,1220.0,1951.0,976.0,1221.0,success
158,s17,9759.0,1219.0,2196.0,976.0,2684.0,732.0,1952.0,success
159,s17,8539.0,733.0,2195.0,732.0,2683.0,733.0,1463.0,success
160,s17,11224.0,1464.0,2684.0,1220.0,2440.0,1220.0,2196.0,success
161,s17,9515.0,976.0,2684.0,975.0,2441.0,1219.0,1220.0,success
162,s17,11223.0,1219.0,2684.0,976.0,2683.0,489.0,3172.0,success
163,s17,10003.0,1220.0,2928.0,976.0,2439.0,977.0,1463.0,success
164,s17,10492.0,1464.0,2196.0,1220.0,2683.0,976.0,1953.0,success
165,s17,10491.0,1219.0,2440.0,1220.0,2440.0,976.0,2196.0,success
166,s17,10491.0,1220.0,2683.0,976.0,2440.0,976.0,2196.0,success
167,s18,10979.0,1464.0,3172.0,1463.0,2440.0,1220.0,1220.0,success
168,s18,9514.0,1220.0,2440.0,1219.0,2684.0,732.0,1219.0,success
